,label,text
0,ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
1,ham,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323
2,ham,Send me yetty's number pls.
3,ham,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? 
4,ham,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.
5,ham,Hey we can go jazz power yoga hip hop kb and yogasana 
6,ham,Hey mate. Spoke to the mag people. Weâ°ÃÃ·re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. 
7,ham,Morning only i can ok.
8,ham,Wat time Ã_ finish?
9,ham,Shant disturb u anymore... Jia you...
10,spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
11,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
12,ham,"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night"
13,spam,You are a winner U have been specially selected 2 receive Ã¥Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
14,ham,Unless it's a situation where YOU GO GURL would be more appropriate
15,ham,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
16,ham,Bring tat cd don forget
17,ham,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but"
18,ham,Jay's getting really impatient and belligerent
19,ham,Lol they were mad at first but then they woke up and gave in.
